JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
2438      HOW15    J175722.68-411731.8        SMSS_J175722.68-411731.8             -2.88   0.52    
2439      JAC15    SMSS_J175738.37-454823.5   SMSS_J175738.37-454823.5             -2.46   1.02    
2440      HOW15    J175746.58-384750.0        SMSS_J175746.58-384750.0             -2.81   0.65    
2441      HOW15    J181219.68-343726.4        SMSS_J181219.68-343726.4             -2.5    0.48    
2442      HOW15    J181317.69-343801.9        SMSS_J181317.69-343801.9             -2.28   0.15    
2446      HOW15    J181634.60-340342.5        SMSS_J181634.60-340342.5             -2.46   -0.11   
2447      HOW15    J181736.59-391303.3        SMSS_J181736.59-391303.3             -2.59   0.21    
2448      HOW15    J181921.64-381429.0        SMSS_J181921.64-381429.0             -2.72   0.59    
2452      HOW16    J182601.24-332358.3        SMSS_J182601.24-332358.3             -2.83   0.7     
2453      HOW16    J182637.10-342924.2        SMSS_J182637.10-342924.2             -1.97   0.39    
2454      HOW16    J182753.81-334607.7        SMSS_J182753.81-334607.7             -2.31   0.58    
2456      HOW16    J182930.47-335958.3        SMSS_J182930.47-335958.3             -1.97   0.29    
2458      HOW16    J183000.36-333919.3        SMSS_J183000.36-333919.3             -2.63   0.3     
2459      HOW16    J183128.71-341018.4        SMSS_J183128.71-341018.4             -1.83   1.25    
2460      HOW16    J183225.29-334938.4        SMSS_J183225.29-334938.4             -1.74   1.08    
2461      JAC15    SMSS_J183246.49-343434.2   SMSS_J183246.49-343434.2             -3.0    0.19    
2463      HOW15    J183647.89-274333.1        SMSS_J183647.89-274333.1             -2.48   0.82    
2466      JAC15    SMSS_J183753.10-380725.9   SMSS_J183753.10-380725.9             -2.99   <-0.13  
2472      JAC15    SMSS_J185628.44-231809.8   SMSS_J185628.44-231809.8             -2.99   <0.02   
2474      JAC15    SMSS_J190911.03-213207.5   SMSS_J190911.03-213207.5             -2.4    0.43    
2476      JAC15    SMSS_J191802.51-851523.0   SMSS_J191802.51-851523.0             -2.62   <0.75   
2478      JAC15    SMSS_J193617.38-790231.4   SMSS_J193617.38-790231.4             -1.29   0.4     
2479      JAC15    SMSS_J194432.13-720537.1   SMSS_J194432.13-720537.1             -2.43   -0.14   
2480      JAC15    SMSS_J195614.75-320145.9   SMSS_J195614.75-320145.9             -2.31   0.29    
2481      JAC15    SMSS_J195931.70-643529.3   SMSS_J195931.70-643529.3             -2.58   0.74    
2485      JAC15    SMSS_J202123.89-515742.8   SMSS_J202123.89-515742.8             -2.61   <0.19   
2487      JAC15    SMSS_J210021.85-653627.9   SMSS_J210021.85-653627.9             -1.89   0.22    
2488      JAC15    SMSS_J211340.44-520017.5   SMSS_J211340.44-520017.5             -2.4    <0.38   
2490      JAC15    SMSS_J221448.33-453949.9   SMSS_J221448.33-453949.9             -2.56   0.94    
2491      JAC15    SMSS_J224838.41-550635.1   SMSS_J224838.41-550635.1             -2.87   0.11    
2492      JAC15    SMSS_J224843.95-543610.1   SMSS_J224843.95-543610.1             -2.38   -0.24   
2495      JAC15    SMSS_J230113.95-291458.2   SMSS_J230113.95-291458.2             -2.53   <0.01   
2499      ALL12    BS16077-077                TYC_1987-753-1                       -2.05   0.04    
2501      LI15a    LAMOSTJ0102+0428           TYC_22-581-1                         -2.75   0.1     
2502      HOL15    HE0414-0343                TYC_4729-1290-1                      -2.24   1.23    
2515      FRE07b   HE1523-0901                TYC_5594-576-1                       -3.0    1.86    
2517      HOL11    HE2148-1105a               TYC_5793-10-1                        -2.98   <-0.23  
2518      HOL11    HE2253-0849                TYC_5813-540-1                       -2.88   0.19    
2529      HAN15    HE0440-3426                TYC_7042-1098-1                      -2.19   <0.62   
2536      HAN15    HE0448-4806                TYC_8080-239-1                       -2.26   1.87    
2538      ROE14b   CS22943-095                TYC_8406-355-1                       -2.52   <0.91   
2558      COH13    HE0533-5340                UCAC4_182-005827                     -2.67   <-0.38  
2560      COH13    HE2339-5105                UCAC4_196-198545                     -2.88   <0.26   
2561      COH13    HE2122-4707                UCAC4_216-194807                     -2.42   2.0     
2567      COH13    HE2204-4034                UCAC4_249-182937                     -2.98   <1.38   
2570      COH13    HE2155-3750                UCAC4_262-193743                     -2.59   <1.64   
2583      COH13    HE0406-2341                UCAC4_333-004853                     -2.99   <1.51   
2584      COH13    HE0445-2339                UCAC4_333-006071                     -2.84   <0.08   
2585      COH13    HE0025-2334                UCAC4_334-000575                     -2.8    <1.17   
2588      COH04    HE0028-2152                UCAC4_342-000586                     -2.77   <1.4    
2589      COH13    HE0028-2152                UCAC4_342-000586                     -2.72   <1.35   
2590      COH04    HE0105-2202                UCAC4_342-001270                     -2.6    <1.71   
2591      COH13    HE0105-2202                UCAC4_342-001270                     -2.55   <1.65   
2592      COH13    HE0221-2127                UCAC4_344-002559                     -2.45   <1.21   
2593      COH04    HE0054-2123                UCAC4_345-001041                     -2.56   <1.59   
2594      COH13    HE0054-2123                UCAC4_345-001041                     -2.51   <1.54   
2595      COH13    HE2244-2116                UCAC4_345-203570                     -2.35   0.58    
2596      COH04    HE2341-2029                UCAC4_349-192663                     -2.46   <1.62   
2597      COH13    HE2341-2029                UCAC4_349-192663                     -2.53   <1.63   
2598      COH13    HE2200-1946                UCAC4_353-193066                     -2.63   0.26    
2604      COH13    HE2249-1704                UCAC4_366-186448                     -2.95   <-0.24  
2608      COH04    HE0508-1555                UCAC4_371-007255                     -2.43   <1.51   
2609      COH13    HE0508-1555                UCAC4_371-007255                     -2.43   <1.46   
2614      COH04    HE0458-1346                UCAC4_382-006748                     -2.42   <1.39   
2615      COH13    HE0458-1346                UCAC4_382-006748                     -2.29   <1.27   
2616      COH13    HE1258-1317                UCAC4_383-063743                     -2.9    <0.13   
2617      COH04    HE2209-1240                UCAC4_388-146196                     -2.72   <1.42   
2618      COH13    HE2209-1240                UCAC4_388-146196                     -2.58   <1.36   
2619      COH13    HE1226-1149                UCAC4_390-057146                     -2.91   1.54    
2620      COH13    HE1515-1055                UCAC4_395-060225                     -3.0    <1.19   
2624      COH13    HE0332-1007                UCAC4_401-004347                     -2.9    0.29    
2632      COH04    HE1141-0610                UCAC4_418-054821                     -2.29   <1.06   
2633      COH13    HE1141-0610                UCAC4_418-054821                     -2.28   <1.09   
2634      COH04    HE0102-0633                UCAC4_419-001309                     -2.95   1.89    
2636      COH13    HE0048-0611                UCAC4_421-001046                     -2.66   <0.47   
2639      COH13    HE1159-0525                UCAC4_422-055048                     -2.91   0.69    
2652      COH13    HE0349-0045                UCAC4_447-005241                     -2.23   <-0.29  
2653      COH13    HE0011-0035                UCAC4_449-000303                     -2.99   0.65    
2656      COH04    HE1320+0038                UCAC4_452-052732                     -2.71   <1.47   
2657      COH13    HE1320+0038                UCAC4_452-052732                     -2.66   <1.42   
2658      COH13    HE0226+0103                UCAC4_457-003214                     -2.81   <0.8    
2659      COH06    HE0336+0113                UCAC4_457-004973                     -2.73   1.22    
2660      COH13    HE0336+0113                UCAC4_457-004973                     -2.68   1.17    
2666      COH04    HE0142+0147                UCAC4_461-002387                     -2.67   <1.28   
2667      COH13    HE0142+0147                UCAC4_461-002387                     -2.62   <1.23   
2668      COH13    HE1045+0226                UCAC4_461-048651                     -2.2    0.22    
2682      COH13    BS16945-054                UCAC4_621-047707                     -2.31   <0.88   
2690      IVA03    CS22966-043                V*_BX_Scl                            -1.93   <1.21   
2693      BUR00    HD3008                     V*_CM_Cet                            -2.0    0.83    
2695      ROE14b   CS22886-013                V*_FV_Aqr                            -2.58   <0.89   
2696      SHE03    Car2                       V*_HO_And                            -1.58   0.04    
2697      BUR00    HD29574                    V*_HP_Eri                            -1.65   0.59    
2699      JOH02a   HD29574                    V*_HP_Eri                            -1.86   0.19    
2701      SHE03    Car10                      V*_ST_Cas                            -1.92   0.77    
2703      SHE03    Car4                       V*_UX_Cas                            -1.57   0.16    
2704      BUR00    HD165195                   V*_V2564_Oph                         -2.0    0.33    
2705      HAN12    HD165195                   V*_V2564_Oph                         -2.1    0.88    
2706      JOH02a   HD165195                   V*_V2564_Oph                         -2.3    0.46    
2707      BUR00    HD232078                   V*_V339_Sge                          -1.5    0.35    
2709      ROE14b   CS30312-062                V*_V456_Ser                          -2.64   <0.99   
2713      ROE14b   G15-10                     Wolf_1137                            -2.53   0.32    
2714      ROE14b   G188-30                    Wolf_1143                            -2.05   <0.16   
2731      ROE14b   G199-66                    Wolf_481                             -2.14   <0.62   
2734      ROE14b   G16-25                     Wolf_624                             -2.08   <0.41   
