JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
402       COH06    HE1031-0020                2MASS_J10342421-0036083              -2.91   <0.91   
403       COH13    HE1031-0020                2MASS_J10342421-0036083              -2.81   <0.81   
404       BAR05    HE1044-2509                2MASS_J10471647-2525183              -2.88   0.92    
405       COH04    BS16945-054                2MASS_J10510181+3401356              -2.33   <0.72   
410       ROE14b   G146-76                    2MASS_J10595749+4446439              -2.08   0.13    
411       AOK05    BS17439-065                2MASS_J11012043-1338384              -2.39   0.12    
415       BAR05    HE1105+0027                2MASS_J11074950+0011383              -2.42   1.8     
423       BAR05    HE1127-1143                2MASS_J11295061-1200124              -2.72   1.06    
426       BAR05    HE1131+0141                2MASS_J11343212+0124417              -2.49   0.87    
428       BAR05    HE1132+0204                2MASS_J11345100+0147280              -2.53   0.24    
430       BAR05    HE1135+0139                2MASS_J11380985+0122441              -2.31   0.33    
446       BAR05    HE1212-0127                2MASS_J12151825-0143547              -2.16   0.34    
447       BAR05    HE1214-1819                2MASS_J12170156-1835546              -3.0    0.48    
451       BAR05    HE1219-0312                2MASS_J12213413-0328396              -2.8    1.41    
453       HAY09    HE1219-0312                2MASS_J12213413-0328396              -2.97   1.39    
462       BAR05    HE1222-0200                2MASS_J12252937-0217235              -2.44   0.58    
463       FRE10a   ComBer-S1                  2MASS_J12264344+2357026              -2.36   <-0.37  
464       FRE10a   ComBer-S2                  2MASS_J12265545+2356095              -2.93   <-0.0   
465       FRE10a   ComBer-S3                  2MASS_J12265667+2356117              -2.58   <-0.61  
466       BAR05    HE1225+0155                2MASS_J12280475+0138329              -2.75   0.24    
478       BAR05    HE1247-2114                2MASS_J12500511-2130473              -2.61   0.21    
488       BAR05    HE1256-0228                2MASS_J12583845-0244175              -2.08   0.49    
508       BAR05    HE1311-1412                2MASS_J13134199-1428246              -2.88   0.52    
510       AOK02a   CS22877-001                2MASS_J13135537-1211415              -2.72   <-0.01  
515       BAR05    HE1314-3036                2MASS_J13172923-3051507              -2.98   0.16    
517       ALL12    BS16033-081                2MASS_J13191246+2227575              -2.2    0.51    
519       ALL12    BS16543-097                2MASS_J13262814+2138429              -2.48   0.97    
520       AOK05    BS16543-097                2MASS_J13262814+2138429              -2.52   0.4     
523       BAR05    HE1330-0607                2MASS_J13325658-0622304              -2.33   0.24    
526       BAR05    HE1332-0309                2MASS_J13343788-0324529              -2.46   0.47    
536       AOK05    BS16089-013                2MASS_J13492196+3544502              -2.82   0.49    
