# X Y X1 X2 Y1 Y2
   -3.03     0.36        0        0        0        0  #2MASSJ02031860-7930291 
   -2.56     0.45        0        0        0        0  #SMSSJ001952.15-525803.0 
   -2.53     0.51        0        0        0        0  #SMSSJ003055.81-482011.3 
   -2.81     0.13        0        0        0        0  #SMSSJ014624.60-352457.7 
   -2.71     0.34        0        0        0        0  #SMSSJ020748.93-465616.4 
   -2.87        0        0        0        0        0  #SMSSJ021323.26-495936.5 
   -3.71        1        0        0        0        0  #SMSSJ024858.41-684306.4 
    -3.2     0.95        0        0        0        0  #SMSSJ051008.62-372019.8 
   -2.72      0.1        0        0        0        0  #SMSSJ061725.30-600740.6 
   -2.77     1.06        0        0        0        0  #SMSSJ062609.83-590503.2 
   -3.41     0.89        0        0        0        0  #SMSSJ063447.15-622355.0 
   -2.59     0.12        0        0        0        0  #SMSSJ121353.63-441911.2 
   -2.54     0.17        0        0        0        0  #SMSSJ133013.61-434632.4 
   -2.73     0.31        0        0        0        0  #SMSSJ133532.32-210632.9 
   -2.61     1.14        0        0        0        0  #SMSSJ155430.57-263904.8 
   -2.66     0.31        0        0        0        0  #SMSSJ160447.75-293146.7 
   -2.51     0.12        0        0        0        0  #SMSSJ174916.38-455427.5 
   -2.77     0.42        0        0        0        0  #SMSSJ174922.26-455103.8 
      -3     0.19        0        0        0        0  #SMSSJ183246.49-343434.2 
   -3.33     0.66        0        0        0        0  #SMSSJ190931.13-214053.9 
   -2.58     0.74        0        0        0        0  #SMSSJ195931.70-643529.3 
   -2.56     0.94        0        0        0        0  #SMSSJ221448.33-453949.9 
   -2.87     0.11        0        0        0        0  #SMSSJ224838.41-550635.1 
   -3.41     1.16     0.24     0.24     0.14     0.14  #LAMOSTJ110901.22+075441.8 
   -2.91     1.64     0.12     0.12     0.04     0.04  #RAVEJ203843.2-002333 
   -2.85     0.31        0        0     0.16     0.16  #HD107752 
   -2.55     0.51      0.1      0.1        0        0  #C1012254-203007 
   -3.06    -0.21        0        0        0        0  #BD-185550 
   -2.88     0.71        0        0        0        0  #BS17569-049 
   -2.99    -0.18        0        0        0        0  #CS22873-055 
   -2.97    -0.31        0        0        0        0  #CS22873-166 
   -2.69     0.97        0        0        0        0  #CS22896-154 
   -2.84     1.04        0        0        0        0  #CS22953-003 
   -2.62     0.28        0        0        0        0  #CS22966-057 
   -2.69     0.16        0        0        0        0  #CS29518-051 
    -2.9     0.58        0        0        0        0  #J00002259-1302275 
   -2.82    -0.06        0        0        0        0  #J00133067-1259594 
   -2.55     0.55        0        0        0        0  #J00400685-4325183 
   -2.81     1.76        0        0        0        0  #J01293113-1600454 
      -3    -0.14        0        0        0        0  #J01430726-6445174 
   -2.94     0.09        0        0        0        0  #J01490794-4911429 
    -2.5     1.12        0        0        0        0  #J02165716-7547064 
   -2.93      0.2        0        0        0        0  #J02441479-5158241 
   -2.71     1.45        0        0        0        0  #J02462013-1518419 
   -2.87     0.11        0        0        0        0  #J03563703-5838281 
   -2.73     0.52        0        0        0        0  #J04121388-1205050 
