JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Mg/Fe  
230       BAR05    HE0243-5238                2MASS_J02453619-5225577              -3.04   0.31   
231       BAR05    HE0244-4111                2MASS_J02455745-4059068              -2.56   0.32   
232       BAR05    HE0243-0753                2MASS_J02461415-0740531              -2.49   0.2    
233       BAR05    HE0248+039                 2MASS_J02505905+0051313              -2.53   0.24   
237       BAR05    HE0256-1109                2MASS_J02591016-1058019              -2.73   0.45   
240       BAR05    HE0300-0751                2MASS_J03030406-0739423              -2.27   0.18   
245       COH13    HE0305-5442                2MASS_J03062950-5430325              -3.3    0.2    
247       ROE14b   CS22968-014                2MASS_J03062950-5430325              -3.99   0.57   
251       BAR05    HE0305-4520                2MASS_J03070219-4509006              -2.91   0.18   
253       JAC15    2MASS_J03084611-4747083    2MASS_J03084611-4747083              -1.56   0.4    
254       BAR05    HE0308-1154                2MASS_J03110972-1143212              -2.82   0.6    
261       PRE00    CS22185-009                2MASS_J03145375-1443537              -1.65   0.46   
263       ROE14b   CS22185-007                2MASS_J03173604-1517227              -3.06   0.49   
264       BAR05    HE0315+0000                2MASS_J03173900+0011045              -2.73   0.24   
267       BAR05    HE0317-4640                2MASS_J03185625-4629276              -2.32   0.29   
268       BAR05    HE0316+0214                2MASS_J03190922+0224543              -3.14   0.65   
269       BAR05    HE0323-4529                2MASS_J03253020-4519315              -3.14   0.36   
274       BAR05    HE0328-1047                2MASS_J03304535-1037098              -2.24   0.19   
276       ROE14b   CS22172-029                2MASS_J03304535-1037098              -2.68   0.55   
277       BAR05    HE0330-4004                2MASS_J03320737-3954501              -2.19   0.22   
278       BAR05    HE0330-4144                2MASS_J03321621-4134485              -1.89   0.25   
279       BAR05    HE0331-4939                2MASS_J03324183-4929094              -2.87   0.31   
280       BAR05    HE0333-4001                2MASS_J03352577-3951468              -2.64   0.35   
281       BAR05    HE0336-3829                2MASS_J03383179-3820140              -2.75   0.32   
282       BAR05    HE0337-5127                2MASS_J03391312-5118163              -2.61   0.31   
283       BAR05    HE0338-3945                2MASS_J03395500-3935429              -2.41   0.37   
285       BAR05    HE0339-4027                2MASS_J03404965-4017354              -1.81   0.28   
286       BAR05    HE0340-5355                2MASS_J03413456-5346180              -2.88   -0.06  
288       BAR05    HE0340-3430                2MASS_J03420477-3420500              -1.95   0.17   
289       BAR05    HE0341-4024                2MASS_J03430809-4015295              -1.82   0.17   
291       BAR05    HE0344+0139                2MASS_J03471573+0149030              -1.8    0.1    
292       BAR05    HE0347-1819                2MASS_J03491837-1810405              -2.77   0.4    
295       PRE06    CS22190-007                2MASS_J03522180-1624325              -2.57   0.28   
296       BAR05    HE0353-6024                2MASS_J03535930-6015154              -3.17   0.19   
298       ROE14b   CS30494-003                2MASS_J03591002-2106479              -2.97   0.48   
299       ROE14b   CS29529-054                2MASS_J03592387-6210089              -2.55   0.34   
301       BAR05    HE0400-2917                2MASS_J04020635-2908479              -2.88   -0.04  
302       AOK07a   HE0400-2030                2MASS_J04021479-2021535              -1.78   0.6    
303       BAR05    HE0401-0138                2MASS_J04034987-0130025              -3.34   0.41   
306       ROE14b   CS22177-009                2MASS_J04074064-2502439              -3.42   0.35   
313       ROE14b   CS22169-035                2MASS_J04121388-1205050              -3.31   0.3    
318       PRE06    CS22186-005                2MASS_J04130905-3550386              -2.7    0.09   
320       ROE14b   CS22186-002                2MASS_J04135721-3646255              -2.72   0.2    
321       ROE14b   CS22186-017                2MASS_J04162226-3417576              -2.82   0.52   
322       BAR05    HE0417-0821                2MASS_J04193150-0814193              -2.33   0.22   
323       BAR05    CS22186-023                2MASS_J04194553-3651359              -2.72   0.11   
324       ROE14b   CS22186-023                2MASS_J04194553-3651359              -3.04   0.34   
326       PRE06    CS22182-033                2MASS_J04231047-3037041              -2.67   0.28   
327       ROE14b   CS22182-033                2MASS_J04231047-3037041              -2.65   0.34   
330       BAR05    CS22186-025                2MASS_J04243280-3709025              -2.87   0.26   
334       BAR05    HE0430-4901                2MASS_J04313114-4854416              -2.72   0.15   
335       BAR05    HE0430-4404                2MASS_J04313811-4357486              -2.08   0.27   
336       BAR05    HE0432-0923                2MASS_J04342566-0916505              -3.19   0.32   
